Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 71.0.3578.98,,2019-01-10 15:44:11,2019-01-10 15:44:47,36.300s,PASSED
,,,,,,
Test Cases/CIS_Login,Chrome 71.0.3578.98,,2019-01-10 15:44:12,2019-01-10 15:44:25,13.405s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-10 15:44:12,2019-01-10 15:44:19,6.496s,PASSED
"navigateToUrl(""http://erp.cisin.com/login.asp"")",Chrome 71.0.3578.98,,2019-01-10 15:44:19,2019-01-10 15:44:22,2.763s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-01-10 15:44:22,2019-01-10 15:44:24,2.027s,PASSED
"setText(findTestObject(""Object Repository/cis/Page_Cyber Infrastructure/input_Email_uname""), ""naresh.r@cisinlabs.com"")",Chrome 71.0.3578.98,,2019-01-10 15:44:24,2019-01-10 15:44:24,0.272s,PASSED
"setEncryptedText(findTestObject(""Object Repository/cis/Page_Cyber Infrastructure/input_Password_pass""), ""qeJ0sjJnwEs="")",Chrome 71.0.3578.98,,2019-01-10 15:44:24,2019-01-10 15:44:24,0.176s,PASSED
"click(findTestObject(""Object Repository/cis/Page_Cyber Infrastructure/input_Password_submit-login""))",Chrome 71.0.3578.98,,2019-01-10 15:44:24,2019-01-10 15:44:24,0.191s,PASSED
closeBrowser(),Chrome 71.0.3578.98,,2019-01-10 15:44:24,2019-01-10 15:44:25,0.772s,PASSED
,,,,,,
Test Cases/Login,Chrome 71.0.3578.98,,2019-01-10 15:44:25,2019-01-10 15:44:47,22.229s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-10 15:44:25,2019-01-10 15:44:29,3.388s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-10 15:44:29,2019-01-10 15:44:30,1.148s,PASSED
"navigateToUrl(""https://www.zee5.com/"")",Chrome 71.0.3578.98,,2019-01-10 15:44:30,2019-01-10 15:44:41,10.676s,PASSED
delay(4),Chrome 71.0.3578.98,,2019-01-10 15:44:41,2019-01-10 15:44:45,4.002s,PASSED
"click(findTestObject(""Object Repository/HomePage/Page_Watch TV Serials Original Show/span_Not Now""))",Chrome 71.0.3578.98,,2019-01-10 15:44:45,2019-01-10 15:44:45,0.082s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-01-10 15:44:45,2019-01-10 15:44:47,2.003s,PASSED
closeBrowser(),Chrome 71.0.3578.98,,2019-01-10 15:44:47,2019-01-10 15:44:47,0.747s,PASSED
